City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,268.33,83,98,4.63,GS,1691429819
1,bredasdorp,-34.5322,20.0403,284.46,83,0,1.52,ZA,1691429819
2,yellowknife,62.456,-114.3525,291.44,48,75,4.63,CA,1691429820
3,hamilton,39.1834,-84.5333,298.76,91,100,8.75,US,1691429820
4,patacamaya,-17.2333,-67.9167,288.0,20,5,3.14,BO,1691429820
5,waitangi,-43.9535,-176.5597,280.83,59,100,5.47,NZ,1691429821
6,muynoq,43.7683,59.0214,298.19,61,1,2.5,UZ,1691429605
7,atafu village,-8.5421,-172.5159,301.28,72,21,6.1,TK,1691429778
8,saint-philippe,-21.3585,55.7679,292.92,81,98,7.02,RE,1691429822
9,arraial do cabo,-22.9661,-42.0278,304.13,48,0,6.69,BR,1691429823
10,edinburgh of the seven seas,-37.0676,-12.3116,286.37,75,68,11.91,SH,1691429823
11,langepas,61.2544,75.2124,291.43,59,100,1.88,RU,1691429823
12,ust-nera,64.5667,143.2,279.67,60,94,2.31,RU,1691429824
13,papatowai,-46.5619,169.4708,278.11,86,100,5.76,NZ,1691429825
14,invercargill,-46.4,168.35,277.6,90,100,1.79,NZ,1691429565
15,east london,-33.0153,27.9116,290.67,88,20,2.57,ZA,1691429826
16,san jose de jachal,-30.2406,-68.7469,288.85,25,7,2.05,AR,1691429826
17,rio preto da eva,-2.6994,-59.6997,312.31,24,11,2.1,BR,1691429827
18,puerto ayora,-0.7393,-90.3518,302.13,82,53,3.58,EC,1691429827
19,pathein,16.7833,94.7333,299.41,85,100,3.73,MM,1691429827
20,touros,-5.1989,-35.4608,299.44,80,4,9.92,BR,1691429828
21,port-aux-francais,-49.35,70.2167,277.59,92,100,11.39,TF,1691429828
22,tiksi,71.6872,128.8694,278.91,70,28,1.08,RU,1691429829
23,milford haven,51.7128,-5.0341,290.72,81,100,6.19,GB,1691429829
24,vorgashor,67.5833,63.95,284.78,93,25,4.32,RU,1691429830
25,adamstown,-25.066,-130.1015,293.4,71,7,2.57,PN,1691429699
26,le touquet-paris-plage,50.5243,1.5857,292.69,72,78,5.66,FR,1691429830
27,blackmans bay,-43.0167,147.3167,280.11,91,35,1.81,AU,1691429831
28,hithadhoo,-0.6,73.0833,301.07,75,67,2.53,MV,1691429831
29,hasaki,35.7333,140.8333,301.1,90,89,3.45,JP,1691429766
30,hadibu,12.65,54.0333,298.93,79,27,8.26,YE,1691429832
31,dakhla,23.6848,-15.958,297.16,69,2,6.17,EH,1691429833
32,miles city,46.4083,-105.8406,292.69,63,100,0.0,US,1691429833
33,gushu,31.5598,118.4829,300.14,94,4,2.41,CN,1691429834
34,okha,53.5739,142.9478,288.2,78,5,2.09,RU,1691429834
35,bairnsdale,-37.8333,147.6167,277.23,97,8,1.69,AU,1691429834
36,puerto natales,-51.7236,-72.4875,275.44,76,100,1.95,CL,1691429835
37,taltal,-25.4,-70.4833,289.23,80,25,3.61,CL,1691429835
38,avarua,-21.2078,-159.775,294.18,83,20,1.54,CK,1691429836
39,berezovyy,51.6667,135.7,288.21,57,37,1.39,RU,1691429836
40,college,64.8569,-147.8028,295.49,71,100,3.09,US,1691429837
41,ushuaia,-54.8,-68.3,274.96,69,0,1.54,AR,1691429837
42,bilibino,68.0546,166.4372,275.53,94,100,2.63,RU,1691429838
43,fandriana,-20.2333,47.3833,285.46,95,93,2.05,MG,1691429838
44,lihue,21.9789,-159.3672,299.92,85,100,5.66,US,1691429839
45,usinsk,65.9939,57.5281,288.22,66,100,6.42,RU,1691429839
46,akureyri,65.6835,-18.0878,291.11,42,40,3.6,IS,1691429839
47,kupang,-10.1667,123.5833,297.07,76,2,7.56,ID,1691429840
48,severo-yeniseyskiy,60.3725,93.0408,283.55,91,99,1.25,RU,1691429840
49,pacasmayo,-7.4006,-79.5714,296.47,67,50,6.05,PE,1691429841
